,고유번호,상호명,신주소,Latitude,Longitude,전화번호,TAG,dis_diff,Time,distance
16,369,북한산국립공원,02700 서울 성북구 보국문로34길 6-21 (정릉동),37.6195359,127.000735,02-909-0497,"서울북한산, 산,북한산성,북한산국립공원,자연,북한산둘레길,도봉산",0.054635764,121,28.3
17,374,코엑스 아쿠아리움,06164 서울 강남구 영동대로 513 코엑스몰 B1,37.511685,127.0593394,02-700-7200 (단체예약 02-700-7300),"코엑스,테마파크,자연,청담역,수족관,삼성역,코엑스아쿠아리움",0.098832931,61,17.7
18,379,선유도 공원,"07200 서울 영등포구 선유로 343 (당산동, 선유도공원)",37.5437229,126.8997207,02-2631-9368,"서울데이트코스,서울야경,선유도역,공원,무한도전,재활용생태공원,자연,선유도공원,서울공원,서울꽃구경",0.08340897,48,11.1
19,380,명동실탄사격장,04537 서울 중구 명동8가길 27 선샤인빌딩3층,37.5618939,126.9864389,02-777-6604,"명동실탄사격장,실탄사격장,사격장,서울실탄사격장,드라마촬영지, 레저,명동사격장,명동역,체험관",0.010485363,8,1.9
20,405,롯데월드 아이스링크,05554 서울 송파구 올림픽로 240 (롯데월드),37.5111158,127.098167,02-1661-2000,"스케이트장,레저,테마파크,롯데월드아이스링크,아이스링크,잠실역,롯데월드",0.132564852,64,19.5
21,411,봉은사,06087 서울 강남구 봉은사로 531 (봉은사),37.5152006,127.0574369,02-3218-4800,"절,서울절,코엑스,홍매화,서울꽃구경,연등행렬,삼성동절,서울벚꽃,종교,봉은사,강남절,수도산",0.095252128,62,17.8
22,433,국립중앙박물관,04383 서울 용산구 서빙고로 137 (국립중앙박물관),37.5238506,126.9804702,02-2077-9000,"국립중앙박물관,역사,서울가볼만한곳,어린이박물관,박물관,극장용,이집트보물전",0.045541671,34,7.9
23,450,문화역서울 284,04509 서울 중구 통일로 1 (서울역 본옥),37.55615,126.971753,02-3407-3500,"서울역전시회,구서울역,문화역서울,미술관,유적지,서울역미술관,역사,문화역서울284",0.015119835,12,2.3
24,470,트릭아이미술관,04039 서울 마포구 홍익로3길 20 (서교오피스텔) B02호,37.5535655,126.9217263,02-3144-6300,"트릭아이뮤지엄,홍대트릭아이,문화,러브뮤지엄,3D체험미술관,트릭아이미술관,미술관,AR뮤지엄,아이스뮤지엄,이색미술관",0.059499768,33,6.9
25,471,운현궁,03131 서울 종로구 삼일대로 464 (운현궁),37.576034,126.987052,02-766-9090,"역사,전통,운현궁,궁,유적지,군중의상체험,랜드마크,안국역,종로3가역,공연",0.01038326,9,1.9
26,507,종묘,"03135 서울 종로구 종로 157 (훈정동, 종묘공원)",37.574583,126.994143,02-765-0195,"창경궁,종묘사직,종묘,창덕궁,종로3가,역사,유적지,유네스코세계문화유산,종묘제례,종묘관람",0.015931284,12,2.6
27,515,삼성 딜라이트,06620 서울 서초구 서초대로74길 11 (삼성전자빌딩),37.4966085,127.0269023,02-2255-2277,"홍보관,삼성전자홍보관,삼성딜라이트,강남역,서울혼자가볼만한곳,전시,삼성체험관,체험관",0.087066662,67,20.1
28,846,서울대학교병원 의학박물관,03080 서울특별시 종로구 대학로 101 (연건동),37.5787974,127.0010352,02-2072-2636,"종로구연건동,서울대학교,의학박물관,서울대학교병원,혜화역,박물관,역사,전시",0.023885514,16,3
29,859,전쟁기념관,"04353 서울 용산구 이태원로 29 (용산동1가, 전쟁기념관)",37.5366059,126.9771397,02-709-3139,"가볼만한곳,주말나들이추천,삼각지역,어린이날,역사박물관,용산어린이박물관,전쟁기념관,광개토대왕릉비",0.032823292,23,5.3
30,889,정동길(덕수궁 돌담길),04516 서울중구정동길 ,37.565094,126.975406,NA,"덕수궁돌담길,김수현,영국대사관,이화여고,러시아대사관,미국대사관,정동교회,정동길,별에서온그대,역사,독일대사관, 문화공간,정동극장",0.00564399,7,1.5
31,1136,송파나루근린공원,05608 서울 송파구 잠실동 47-1,37.509032,127.0978257,02-2147-2109,"석촌호수백조,매직아일랜드,가볼만한곳,석촌호수공원,서울가볼만한곳,석촌호수벚꽃축제,데이트코스,스위트스완, 공원,서울야경",0.133189344,65,19.5
32,1150,이화여고 100주년 기념관,"04516 서울 중구 정동길 26 (정동, 이화100주년기념관)",37.5662298,126.9707329,02-752-3353,"이화여고,문화,이화여고100주년기념관,기념관,시청역,심슨기념관,화암홀,서대문역, 공연장",0.008926462,8,1.6
33,1151,경교장,03181 서울 종로구 새문안로 29 (경교장),37.5684597,126.9680114,02-735-2038,"역사,임시정부청사,김구,대한민국임시정부,역사관,서대문역,유적지,백범김구,백범김구사저,경교장,독립문역,전시",0.011114348,11,1.6
34,1153,양화진외국인선교사묘원,"04084 서울 마포구 양화진길 46 (합정동, 양화진홍보관)",37.5466381,126.9114221,02-332-9174,"양화진외국인선교사묘원,합정역,한국선교기념관,기념관,성지,종교",0.071382862,44,9.8
35,1159,경희궁,03177 서울 종로구 새문안로 45 (경희궁),37.5712378,126.9681688,02-724-0274,"덕수궁, 고궁,경복궁,서대문,광화문, 창경궁,창덕궁,서울역사박물관,조선",0.011077874,10,1.5
36,1183,락고재,03056 서울 종로구 계동길 49-23 (계동),37.5800634,126.9861417,02-742-3410,"북촌한옥호텔,전통,전통체험,북촌한옥스테이, 문화공간,한옥,락고재,안국역",0.012809038,12,2.3
37,1232,삼성미술관 리움,04348 서울 용산구 이태원로55길 60-16 (한남동),37.5383951,126.999265,02-2014-6901,"한남동데이트,한남동미술관,삼성미술관리움,올프리마,문화,리움미술관,삼성리움,미술관,이태원전시",0.036967881,33,6
38,1257,LG아트센터,06141 서울 강남구 논현로 508 (GS강남타워),37.502423,127.037589,02-2005-0114,"문화,LG아트센터, 공연장",0.088906731,89,24.9
39,1262,카이스갤러리,06017 서울 강남구 언주로174길 13 (신사동) 1층,37.5285487,127.0350113,02-511-0668,"청담동,CAISGALLERY,강남갤러리,화랑,미술관,강남화랑,카이스갤러리",0.069237754,59,17.5
40,1268,씨네 드 쉐프,06022 서울 강남구 압구정로30길 45 (신사동),37.5242994,127.0294095,1544-1122,"씨네드쉐프,카페,레스토랑,CGV압구정점,요리,압구정역,극장, 문화공간,문화,cinedechef",0.067555158,65,20.3
41,1272,풍월당,"06018 서울 강남구 도산대로53길 39 (신사동, 신사동 C/K빌딩)",37.5258161,127.0389168,02-512-2222,"클래식음반매장,압구정로데오역,클래식카페,클래식,로젠카발리에,풍월당,풍월당,카페,쇼핑,음반매장",0.074003411,58,17.2
42,1278,서울남산국악당,04626 서울 중구 퇴계로34길 28 (남산한옥마을),37.559315,126.994477,02-2261-0512,"공연장, 전통,서울남산국악당",0.018383179,12,2.4
43,1399,만해한용운 심우장,02879 서울 성북구 성북로29길 24 (만해 한용운 심우장),37.5936472,126.9917756,02-2241-2632,"성북동,유적지,심우장,만해한용운심우장,역사,한용운,성북명소,성북동역사문화지구",0.027391365,30,4.2
44,1403,허준박물관,07525 서울특별시 강서구 허준로 87 (가양동),37.5679303,126.8512999,02-3661-8686,"전시,체험관,박물관,한의학박물관,허준박물관,허준,역사",0.127796524,63,16.3
45,1411,강서습지생태공원,07518 서울특별시 강서구 양천로27길 279-23,37.5859954,126.8171323,02-3780-0621,"강서구개화동, 자연,한강생태공원,강서구주말나들이,강서습지생태공원,공원,한강",0.162806961,72,19.5
47,1421,정동극장,"04518 서울 중구 정동길 43 (정동, 정동극장)",37.565963,126.9728046,02-751-1500,"공연장,서대문역,문화,극장,시청역,정동극장,광화문역",0.007148524,6,1.4
48,1422,서울 무형문화재 교육전시장,03059 서울 종로구 북촌로 20-13,37.5787506,126.9857259,02-747-0303,"전시관,공예,전통,전통공예,북촌한옥마을,서울무형문화재교육전시장,관광지,문화재,안국역",0.011490387,11,2.1
49,1427,쇳대박물관,110-810 서울특별시 종로구 이화장길 100 (동숭동),37.5797646,127.004601,02-766-6494,"쇳대박물관, 역사,박물관",0.027548476,17,3.7
50,1439,네이처 포엠,"06011 서울강남구압구정로 461 (청담동, 네이처포엠)",37.517336,127.059213,02-511-5552,"전시, 갤러리장,미술관,압구정로데오역,문화,갤러리, 백남준미술관, 청담동,갤러리지오,네이처포엠,청담역",0.095538683,54,15.7
51,1442,스페이스 씨,"135-120 서울특별시 강남구 언주로 827, 스페이스씨 (신사동)",37.5240709,127.0328455,02-547-9177,"스페이스씨,문화, 문화공간",0.070299095,61,18.1
52,1451,예림당아트홀,"06226 서울 강남구 언주로 337 (역삼동, 동영문화센터) 2층",37.497839,127.0442979,02-738-8289,"예림당아트홀,공연장,뮤지컬피노키오,뮤지컬보물섬,송승환,문화,역삼역,전시,어린이문화공간",0.096794431,81,23.4
53,1453,두산아트센터,"03129 서울 종로구 종로33길 15 (연지동, 두산아트센터)",37.571729,127.0011893,02-708-5001,"공연장,문화,종로5가역,두산아트센터,아티스트,죽음과소녀,스페이스111,연강홀,뮤지컬,연극",0.022226402,13,2.9
54,1459,리기태전통연공방,03051 서울 종로구 창덕궁5길 4 (원서동),37.5829925,126.9892812,02-720-4114,"연,전통문화,안국역,전통,리기태,북촌한옥마을,리기태전통연공방,문화공간",0.01701271,13,2.6
55,1466,서울랜드,"13829 경기 과천시 광명로 181 (막계동, 서울랜드)",37.4341563,127.0201267,02-509-6000,"야간개장,문화,캐릭터플라워페스티벌,서울랜드,과천,서울대공원,테마파크,동물원,눈썰매장,벚꽃축제",0.141305508,112,33.1
56,1478,라트어린이극장,"06296 서울 강남구 논현로 164 (도곡동, 유니북스사옥)",37.4878837,127.0418002,02-560-0999,"공연,매봉역,라트어린이극장,어린이극장, 교육,공연장,영어체험,영어연극,양재역",0.102825149,76,22.7
57,1484,LG사이언스홀 서울,07336 서울 영등포구 여의대로 128,37.5279663,126.9292856,02-3773-1053,"영등포LG사이언스홀,서울LG사이언스홀,여의나루역,기술,LG사이언스홀,과학관,체험형과학관,전시,체험관",0.064766372,39,8.2
58,1525,서울시립미술관 서소문본관,"04515 서울 중구 덕수궁길 61 (서소문동, 서울시립미술관)",37.5640253,126.9737793,02-2124-8800,"문화,별에서온그대,서울전시,시청역,날개.파티,가볼만한곳,서울시립미술관,김수현,미술관,서울미술관,덕수궁",0.007534268,7,1.4
59,1539,서울광장,100-101 서울특별시 중구 세종대로 110 (태평로1가),37.5675672,126.977277,02-120,"문화공간,서울광장, 문화",0.002556479,4,0.837
60,1546,예지원 장충동,04605 서울특별시 중구 장충단로 72 (장충동2가),37.5525546,127.0030594,02-2234-3325,"전통문화,예절교육,예지원,문화,도서관,다도,전통예절교육,국회도서관",0.02928165,27,4.9
61,1562,우장근린공원,"07658 서울 강서구 화곡로 302 (화곡동, 강서구청)",37.5509103,126.8495742,02-2600-4185,"우장근린공원,우장공원,우장산,우장산공원,자연,휴식공간,공원,우장산근린공원",0.130823204,71,18.6
62,1572,DMC 홍보관,03926 서울특별시 마포구 월드컵북로 366 (상암동),37.5777446,126.8921565,02-309-7067,"디지털 미디어 시티, 상암동,상암DMC,MCN체험,전시관,DMC 홍보관,DMC디지털미디어시티",0.087334129,50,12.9
63,1579,탑골공원,110-122 서울특별시 종로구 종로 99 (종로2가),37.5711455,126.9883295,02-731-0534,"역사,탑골공원, 유적지",0.009409971,7,1.3
64,1596,정독도서관,03055 서울 종로구 북촌로5길 48 (정독도서관),37.5810251,126.9829983,02-2011-5799,"도서관,남산도서관,북촌도서관,문화,종로도서관,북촌삼청동,서울벚꽃,정독도서관",0.01229224,12,2.1
65,1605,응봉산인공암벽공원,04742 서울특별시 성동구 독서당로60길 13-1 (응봉동),37.5486209,127.0310033,02-2286-6061,"암벽등반,응봉산인공암벽,레저,응봉산,응봉역,공원,응봉산암벽등반공원,응봉암벽등반공원",0.055908374,38,10.6
66,1618,JUMP(점프) 전용극장,"04549 서울 중구 마른내로 47 (초동, 명보극장) 3층 점프전용극장",37.5646936,126.9931903,02-722-3995,"종로점프,뮤지컬점프,JUMP,점프,명보아트홀,점프,점프전용극장,마샬아츠,엔터테인먼트",0.014857566,8,1.9
67,1625,중랑천,서울특별시중랑구중화동중량천길,37.602457,127.072005,NA,NA,0.09863152,48,15.1
68,1647,국립민속박물관,"03045 서울 종로구 삼청로 37 (세종로, 국립민속박물관)",37.5816456,126.9789948,02-3704-3114,"역사,광화문,인사동,박물관,국립민속박물관,추억의거리,삼청동,경복궁",0.012274656,12,2.1
69,1676,아름지기,03044 서울특별시 종로구 효자로 17 (통의동),37.5791178,126.972759,02-741-8373,"전시,전통문화,전통,전통공예품,경복궁역,문화공간,아름지기재단,아름지기전시,아름지기",0.011621287,12,1.9
70,1694,갤러리 현대,"03062 서울 종로구 삼청로 14 (사간동, 현대갤러리)",37.577203,126.9799131,02-2287-3500,"문화,경복궁역,미술관,종로구사간동,삼청동,전시,갤러리현대,안국역,미술",0.007875012,9,1.3
71,1696,동숭아트센터,03084 서울특별시 종로구 동숭길 122 (동숭동),37.583653,127.0036978,02-766-3390,"공연장,대학로,동숭아트센터,홍광호,문화,미스터마우스,예술,혜화역,전시",0.028453373,18,3.9
72,1708,국립현대미술관 덕수궁관,04519 서울특별시 중구 세종대로 99 (정동),37.5658049,126.9751461,02-2022-0600,"현대미술,덕수궁관,덕수궁미술관,문화,전시,국립현대미술관덕수궁관,미술관,예술,관광지",0.005316028,6,1.3
73,1733,아르코(ArKo)예술극장,03086 서울특별시 종로구 대학로8길 7 (동숭동),37.5811446,127.0029667,02-3668-0007,"아르코예술극장,공연장,대학로예술극장,문화,LDP무용단,혜화역,예술,대학로",0.026623084,17,3.7
74,1737,에이에이더디자인뮤지엄,04049 서울특별시 마포구 와우산로17길 19-18 (서교동),37.5495124,126.9213148,02-3143-7311,"aA갤러리,상수역예술,디자인전시,홍대카페,문화,합정카페,상수카페,전시, 미술관",0.061091351,34,7
76,1747,산울림소극장,"04052 서울특별시 마포구 와우산로 157, 지하 1층 소극장 산울림 (서교동)",37.5550951,126.9299385,"02-334-5915,25","산울림소극장,홍대,소극장,예술,공연장,공연,서교동,홍대소극장,문화",0.051181176,29,5.8
77,1755,서대문독립공원,03732 서울시 서대문구 통일로 251 (현저동),37.574271,126.956071,02-364-4686,"독립선언기념탑,역사관,독립문역,서대문형무소역사관,서대문독립공원,공원,서대문형무소,역사",0.023533023,18,3.1
78,1761,서울놀이마당,"05608 서울 송파구 삼학사로 136 (잠실동, 서울놀이마당)",37.5092404,127.0991543,02-2147-2800,"민속예술,한옥,전통,공연장,서울놀이마당,석촌호수공원,잠실역",0.13428168,68,20.2
79,1776,국립 4.19민주묘지,01009 서울 강북구 4.19로8길 17,37.6328759,127.0200966,02-996-0419,"유적지,역사,수유동,4.19민주혁명,4.19민주묘지,4.19혁명국민문화제,국립4.19민주묘지",0.07559441,83,25.2
80,1778,목동 아이스링크,07990 서울특별시 양천구 안양천로 939 (목동),37.5305809,126.8810483,02-2643-3057,"목동스케이트장,스케이트장,목동야구장,목동종합운동장,목동아이스링크,레저,오목교역",0.105434988,67,17.2
81,1780,민속극장 풍류,"06153 서울 강남구 봉은사로 406 (삼성동, 서울중요무형문화재전수회관)",37.5100707,127.0446035,02-3011-2178,"민속극장풍류,전통음악, 전수회관, 전통,공연장,전통춤,선릉역,공연,선정릉역",0.088367429,68,19
82,1789,도산공원,06020 서울 강남구 도산대로45길 20 (도산전시관),37.5239121,127.0355914,02-3423-6285,"도산공원,도산안창호선생,전시,공원,도산기념관,압구정로데오,역사,압구정역,안창호",0.072519923,61,18
83,1799,매화근린공원,07550 서울특별시 강서구 양천로62길 14 (등촌동),37.5560766,126.8603757,02-2600-4187,"강서구등촌동,겸재정선기념관,증미역,매화공원,자연,등촌역,공원",0.119454721,62,15.8
84,1809,목인박물관,03145 서울특별시 종로구 인사동11길 20 (견지동),37.581368,126.9646857,02-722-5066,"행사,인사동,조각박물관,안국역,문화,쌈지길,목인갤러리,목인박물관,전시,박물관,관광지",0.006395368,38,4.6
85,1826,사직단,03027 서울 종로구 사직로9길 5 (사직단),37.5760163,126.9679914,02-2148-2834,"사직단,사직대제,역사,문화,유적지,제사,사직공원,경복궁",0.012934342,15,2.2
86,1833,서대문형무소역사관,"03732 서울 서대문구 통일로 251 (현저동, 독립공원)",37.5740613,126.9563603,02-360-8590,"서울아이들과가볼만한곳,기념관,서대문형무소,역사,서대문형무소역사관,삼일절,서울구치소",0.023206854,18,3.1
87,1840,서울숲,04770 서울특별시 성동구 뚝섬로 273 (성수동1가),37.5431644,127.0418547,02-460-2905,"습지생태원,서울가볼만한곳,생태숲,서울숲,데이트코스,자연,곤충식물원,관광명소,나비정원,공원,뚝섬유원지",0.068017811,41,12.5
88,1846,약현성당,04506 서울시 중구 청파로 447-1,37.5589521,126.9670169,02-362-1891,"서울성당결혼식,약현성당,성당,관광지,바다결혼식,중림동성당,고딕성당,종교",0.01594611,16,2.4
89,1853,어린이대공원,"04991 서울특별시 광진구 능동로 216, 서울어린이대공원(능동)",37.5482248,127.0808374,02-450-9311,"동물원,봄꽃축제,어린이대공원,눈썰매,서울여행,데이트코스,서울벛꽃,서울대공원",0.103923307,47,13.4
90,1862,원효로성당,04361 서울 용산구 원효로19길 49 (원효로4가),37.5343852,126.9533902,02-701-5501,"성당,성심여자중학교,원효로성당,용산신학교,서울근대문화재,예수성심성당, 성심여자고등학교",0.043409901,28,6.1
91,1872,갤러리MHK,03053 서울 종로구 팔판길 12,37.5807513,126.980441,02-720-1524,"문화,미술관,북촌,학고재,갤러리,종로구소격동,북촌갤러리,인사동,삼청동갤러리",0.011460113,12,1.9
93,1886,한국의집,"04626 서울 중구 퇴계로36길 10 (필동2가, 한국의집)",37.5602041,126.9947198,02-2266-9101,"한국의집,판드라마,전통,심청전,공연장,전통예술공연,궁중혼례,전통혼례,전통한식체험,전통문화체험",0.018121295,11,2.4
94,1891,세븐럭 카지노(강남),06164 서울특별시 강남구 테헤란로87길 58 (삼성동),37.5101935,127.0585824,02-3466-6000,"코엑스카지노,강남카지노,그랜드코리아레저, 다이사이,레저,룰렛,이민호, 바카라,세븐럭카지노,서울카지노",0.099102593,62,17.9
95,1900,광화문광장,03154 서울특별시 종로구 세종대로 172,37.571619,126.976754,02-120,"청계천,경복궁역,경복궁,광화문광장,세종문화회관,가볼만한곳,광화문행사,광화문역, 이순신동상,광화문집회",0.003240542,7,0.854
96,1904,보신각터,"03189 서울 종로구 종로 54 (관철동, 보신각)",37.5697987,126.9837167,02-2133-0983,"종로,타종행사,보신각타종체험,보신각,보신각종,제야의종,종로보신각",0.004648092,4,0.712
97,1910,성곡미술관,"03175 서울 종로구 경희궁길 42 (신문로2가, 성곡미술관)",37.5731157,126.9697643,02-737-7650,"전시,예술,독일현대사진전,성곡미술관,미술관,문화,미술,종로미술관",0.010047761,11,1.5
98,1912,서울시민 광나루안전체험관,"04991 서울 광진구 능동로 238 (능동, 서울시민안전체험관광나루)",37.5512329,127.0770992,02-2049-4061,"서울능동,안전,서울시민광나루안전체험관,서울시민안전체험관,무료안전교육,체험관,서울아이들과가볼만한곳",0.099675163,54,16.2
99,1914,여의도 한강공원 수영장,07337 서울특별시 영등포구 여의동로 330 한강사업본부 여의도안내센터,37.5263086,126.9335824,02-785-0478,"여의도한강공원수영장,한강시민공원수영장,여의나루역,수영장,한강공원,여의도야외수영장,레저,여의도",0.062651281,38,8.3
100,1919,명보아트홀,100-300 서울특별시 중구 마른내로 47 (초동),37.5646936,126.9931903,02-2274-2121,"예술,을지로3가역,명보시네마,공연장,충무로역, 문화,실버극장,명보아트시네마,명보극장,명보아트홀",0.014857566,8,1.9
101,1932,순라길,03134 서울시 종로구 서순라길 161 (권농동) 일대,37.57734,126.991769,02-120,"문화,문화공간,순라길,종로홍어삼합,순라길홍어,역사문학탐방로,종로순라길,서울홍어삼합",0.01497666,11,2.3
102,1943,용마폭포공원,"02257 서울 중랑구 용마산로 250-12 (면목동, 용마폭포공원관리사무소)",37.5728192,127.0911912,02-2094-2342,"용마산역,용마폭포공원,책깨비,공원,중랑구가볼만한곳,폭포, 자연,용마산인공폭포",0.11215591,52,13.7
103,1951,보라매 암벽등반장,07062 서울 동작구 보라매로5길 28 동작구민회관,37.494048,126.922731,010-4733-4496,"서울암벽등반,건강,힘쎈여자도봉순,신대방역,공원,보라매공원,보라매암벽등반장,보라매역",0.094073082,92,24.7
104,1955,풍납토성,05512 서울특별시 송파구 한가람로20길 30 (풍납동),37.5386414,127.1208838,02-2147-2800,"역사,풍납토성,한강유적,천호역,한강,백제풍납토성,유적지",0.145087183,70,21.2
105,1958,전기박물관,"06732 서울 서초구 효령로72길 60 (서초동, 한전아트센터)",37.4856845,127.0280225,02-2105-8190,"전기박물관,한국전력공사,양재역,전시,체험,한전아트센터,박물관,역사",0.09694347,86,24.5
106,1961,겸재정선미술관,"07522 서울 강서구 양천로47길 36 (가양동, 겸재정선미술관)",37.5722129,126.8384499,02-2659-2206,"진경산수화,문화, 미술관,산수도,겸재정선,귀거래도,겸재정선기념관,겸재정선미술관",0.140667104,70,17.8
107,1962,생각꿈틀미술관,06780 서울 서초구 강남대로 279 아가월드 6층,37.48817,127.031896,02-578-0270,"양재동미술관,언남고등학교,언남문화체육센터,문화,생각꿈틀미술관,미술관,체험학습,전시",0.11640669,85,24.3
108,1965,국립서울현충원,"06984 서울 동작구 현충로 210 (동작동, 국립현충원)",37.5005926,126.9726373,02-813-9625,"동작동,무용용사탑,유적지,현충원,역사, 충렬대,동작역,국립현충원,현충관,현충일, 전쟁박물관,역사",0.069080569,48,11.1
110,1981,중랑천 제방,서울특별시 중랑구 면목동 일대,37.5811454,127.0883961,02-938-9520~1,"하천,장미터널,서울벚꽃,중랑천, 자연,서울장미축제,봄꽃축제,동대문축제,중랑천제방",0.109940095,45,14
111,1995,궁중음식연구원,"03051 서울특별시 종로구 창덕궁5길 16, 궁중음식연구원 (원서동)",37.5835607,126.9892457,02-3673-1122,"전통음식,문화,연구원,궁중음식,궁중음식강좌,전통음식강좌,궁중음식연구원",0.017450268,13,2.7
112,1999,흥인지문(동대문),"03119 서울 종로구 종로 288 (종로6가, 흥인지문)",37.5711389,127.0095452,02-731-0412,"동대문,역사,흥인지문,서울야경,동대문야시장,어스아워,동대문역,유적지",0.030508149,15,3.4
113,2010,안동교회,03061 서울 종로구 윤보선길 57 (안동교회),37.5783667,126.9831632,02-733-3395,"안동교회소허당,문화,문화공간,북촌교회,종로구안국동,안동교회,교회",0.009875324,12,2.2
114,2012,경인미술관,03146 서울특별시 종로구 인사동10길 11-4 (관훈동),37.5745581,126.9856232,02-733-4448,"관훈동,안국역,한국문화,전시,미술,경인미술관,문화,미술관",0.00834313,7,1.3
115,2021,화계사,"01095 서울 강북구 화계사길 117 (수유동, 화계사)",37.6326445,127.0073066,02-902-2663,"불교,수유역,절,사찰, 흥선대원군, 화계사,템플스테이",0.069280375,87,24.8
116,2027,허준근린공원,"07525 서울 강서구 허준로5길 42 (가양동, 구암공원관리사무실)",37.5723456,126.8414638,02-2600-4112,"허준공원,가양역,허준기념공원,동의보감,강서구공원,공원,테마공원,허준,문화,구암공원",0.137656636,63,16.3
117,2029,홍릉숲,"02455 서울 동대문구 회기로 57 (청량리동, 국립산림과학원)",37.5930966,127.0436564,02-961-2551,"홍릉숲,홍릉시험림,자연,홍릉숲탐방,수목원,홍릉수목원",0.068789021,33,8.4
118,2030,대한성공회서울주교좌성당(서울성공회성당),서울특별시 중구 세종대로21길 15 (정동),37.5671299,126.9760517,02-730-6611,"서울가볼만한곳,서울대성당,성당,대한성공회,서울성공회성당,서울주교좌성당, 종교,대한성공회서울주교좌성당,서울여행",0.00377423,7,1.1
119,2039,떡박물관,"03132 서울 종로구 돈화문로 71 (와룡동, 떡박물관)",37.5748578,126.990624,02-741-5447,"전통,체험관,떡만들기체험,전통식문화체험,박물관,떡박물관,전통체험,종로3가역",0.01277396,11,2.3
120,2049,덕수궁,04519 서울 중구 세종대로 99,37.5658705,126.9750079,02-771-9951,"시청역,석조전,국립현대미술관,궁,무한도전,서울시청,덕수궁,덕수궁야간개장,숭례문,역사,시민청",0.005376362,6,1.2
